timestamp,model,variant,precision_at_10,recall_at_10,ndcg_at_10,epochs,emb_dim,n_layers,skip_groups,notes
2026-05-02 21:42:59,InfoNCE,all features +proximity,0.1021,0.1021,0.0523,0,1024,4,,proximity_reranked alpha=0.4 bw=5.0km top_k=50
2026-05-03 03:48:14,InfoNCE-KGAT-SAL,all features T=3 +proximity,0.0956,0.0956,0.0511,0,1024,4,,proximity_reranked alpha=0.7 bw=20.0km top_k=50
2026-05-03 03:48:17,KGAT,all features +proximity,0.0915,0.0915,0.0479,0,1024,4,,proximity_reranked alpha=0.4 bw=5.0km top_k=50
2026-05-03 03:48:19,KGAT-SAL,all features T=3 +proximity,0.0945,0.0945,0.0506,0,1024,4,,proximity_reranked alpha=0.6 bw=10.0km top_k=50
2026-05-03 03:48:21,RaDAR,all features +proximity,0.0785,0.0785,0.0427,0,1024,4,,proximity_reranked alpha=0.7 bw=10.0km top_k=50
2026-05-03 03:48:23,InfoNCE,all features +proximity,0.1021,0.1021,0.0523,0,1024,4,,proximity_reranked alpha=0.4 bw=5.0km top_k=50
2026-06-08 09:28:39,KGAT,all features +spatial_cbg,0.0002,0.0021,0.0009,1,256,4,,CBG spatial k=5
2026-06-08 09:48:29,KGAT,all features [unext_typescz],0.0144,0.1439,0.0766,300,2048,4,,no_spatial_cbg unext_typescz
2026-06-08 09:48:30,KGAT,all features [unext_typescz],0.0144,0.1436,0.0763,300,2048,4,,no_spatial_cbg unext_typescz
2026-06-08 10:07:16,KGAT,all features [unext_llmcz],0.0144,0.1439,0.0767,300,2048,4,,no_spatial_cbg unext_llmcz
2026-06-08 10:07:28,KGAT,all features [unext_llmcz],0.0143,0.1433,0.0764,300,2048,4,,no_spatial_cbg unext_llmcz
